date_of_sim,gene_ko,avg_growth,WCM_essentiality,WCM_viability,Rousset_all_strains_M9,Rousset_MG1655_M9,Lineage_1,Lineage_2,Lineage_3,Lineage_4,Lineage_5,Lineage_6,Lineage_7,Lineage_8,Lineage_9,Lineage_10,Lineage_11,Lineage_12,Lineage_13,Lineage_14,Lineage_15,Lineage_16,Lineage_17,Lineage_18,Lineage_19,Lineage_20,Lineage_22,Lineage_23,Lineage_24,Lineage_25,Lineage_26,Lineage_27,Lineage_28,Lineage_29,Lineage_30,Lineage_31,Lineage_32,Lineage_33,Lineage_34,Lineage_35,Lineage_36,Lineage_37,Lineage_38,Lineage_39,Lineage_40,Lineage_41,Lineage_42,Lineage_44,Lineage_45,Lineage_46,Lineage_47,Lineage_48,Lineage_51
20241022,rpoC,0.041042522,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,rpoB,0.034353512,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,rpmC,42.04759418986245,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,pyrE,0.039649337,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,pdxB,0.090826541,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,thrA,0.5180437674727618,1,0.15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,thyA,0.1994926106580203,1,0.1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,tnaB,0.106734959,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20241022,rplU,10.990733551891406,1,0.1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,trpA,0.070247998,1,0.15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,trpC,0.082209619,1,0.15,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,pheA,4.638926950171034,1,0.15,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,pgsA,0.097098778,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
20241022,trpD,1.4019885716349396,1,0.15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
